movie_name,release_date,earning
Exodus: Gods and Kings,1992,"$268,175,631"
Blade Runner 2049,1993,"$267,770,708"
Bambi,2003,"$267,447,150"
The Princess and the Frog,2004,"$267,045,765"
Batman Returns,2008,"$266,915,287"
Indecent Proposal,1995,"$266,614,059"
Something's Gotta Give,1998,"$265,328,738"
Bridget Jones: The Edge of Reason,2000,"$265,126,918"
The Incredible Hulk,1997,"$264,770,996"
Waterworld,1995,"$264,218,220"
The Truman Show,2019,"$264,118,201"
Charlie's Angels,2006,"$264,105,545"
The Fifth Element,2005,"$263,920,180"
Jumanji,2008,"$262,821,940"
Parasite,1990,"$262,676,096"
Borat,2009,"$262,552,893"
Robots,2019,"$262,511,490"
Knight and Day,2013,"$261,989,769"
Total Recall,2011,"$261,317,921"
This Is It,2018,"$261,183,588"
Terminator: Dark Fate,2015,"$261,119,292"
The Lone Ranger,2003,"$260,502,115"
Super 8,2007,"$260,095,986"
Halloween,1997,"$259,939,835"
Mojin: The Lost Legend,2017,"$259,368,448"
Charlie's Angels: Full Throttle,2014,"$259,175,788"
Rush Hour 3,2022,"$258,097,122"
The Full Monty,2021,"$257,938,649"
Kung Fu Yoga,2003,"$257,753,889"
Annabelle,2015,"$257,589,721"
Puss in Boots: The Last Wish,2000,"$257,003,100"
Encanto,2019,"$256,786,742"
The Village,2019,"$256,697,520"
Lost in Hong Kong,2016,"$256,283,912"
Erin Brockovich,2008,"$256,271,286"
Us,1993,"$256,067,149"
Pegasus,2017,"$255,863,112"
